Geneid	EDLARFE1	EDLARFE2	EDLARFE3	EDLARME1	EDLARME2	EDLARME3	EDLCIBFE1	EDLCIBFE2	EDLCIBFE3	EDLCIBME1	EDLCIBME2	EDLCIBME3	EDLCR6H1	EDLCR6H2	EDLCR6H3	EDLM9FE1	EDLM9FE2	EDLM9FE3	EDLM9ME1	EDLM9ME2	EDLM9ME3	MC2ARFE1	MC2ARFE2	MC2ARFE3
EDL933_RS03710	727	1104	2389	2379	2263	2001	3270	766	2938	6377	2969	3922	2178	2642	2033	1740	1619	11567	2219	2798	1249	3578	2682	2831
EDL933_RS03715	18	58	119	92	77	76	550	292	232	71	64	33	247	287	233	115	101	489	115	76	51	190	92	150
EDL933_RS03720	12	33	106	97	61	85	837	650	351	34	103	39	306	331	396	76	65	421	81	64	40	152	71	110
EDL933_RS03725	0	3	14	1	1	1	7	3	13	10	1	4	26	20	5	6	5	18	8	3	6	8	7	3
EDL933_RS03730	5	16	41	19	18	13	46	27	123	59	25	52	153	132	24	43	42	220	60	46	44	89	54	61
EDL933_RS03735	34	78	135	81	79	75	312	90	579	197	66	159	477	542	220	177	201	1190	246	255	96	244	194	188
EDL933_RS03740	4	17	35	20	21	18	68	17	132	51	14	34	104	96	62	27	29	191	48	64	20	37	34	26
EDL933_RS03745	5	13	21	3	19	10	34	10	109	15	14	10	61	63	18	39	34	189	30	60	8	23	18	8
EDL933_RS03750	1	6	15	4	8	14	8	0	45	10	5	2	34	58	8	20	23	76	24	49	3	10	6	6
EDL933_RS03755	0	0	3	4	0	1	1	0	5	1	3	1	8	5	0	3	2	3	0	6	0	3	0	2
EDL933_RS03760	12	23	43	77	53	21	414	163	2173	404	294	276	1384	1983	365	686	402	2015	393	265	468	80	29	39
EDL933_RS03765	70	108	318	213	237	189	550	126	662	595	136	207	1063	1135	379	244	167	1221	921	1050	494	341	233	245
EDL933_RS03770	2	5	14	7	8	9	16	5	36	9	18	4	56	59	6	14	5	49	46	50	15	24	11	18
EDL933_RS03775	1	4	16	7	2	9	19	18	11	9	15	2	31	20	9	15	6	37	46	49	14	16	9	27
EDL933_RS03780	2	11	32	10	25	12	45	3	81	28	12	16	109	138	22	37	22	148	72	58	36	30	26	34
EDL933_RS03785	8	12	47	21	19	16	141	44	801	61	21	32	931	1003	133	110	74	677	55	79	32	758	540	569
EDL933_RS03790	25	39	122	72	86	58	350	110	1138	183	60	95	1251	1895	277	242	258	1648	193	203	111	1267	872	1073
EDL933_RS03795	72	333	409	692	627	449	109	32	272	238	53	106	366	429	82	298	224	1468	602	819	451	402	234	356
EDL933_RS03800	201	243	712	392	359	341	614	214	612	755	997	522	348	579	355	733	692	4552	461	670	295	881	661	653
EDL933_RS03805	137	171	517	257	232	208	567	186	549	549	565	367	297	547	320	700	631	4109	427	536	207	635	479	468
EDL933_RS03810	136	159	460	255	263	184	691	183	731	456	380	349	460	656	396	726	798	5121	458	584	176	534	423	469
EDL933_RS03815	71	100	270	118	166	144	518	128	583	292	271	301	431	600	319	654	605	3651	443	401	138	337	236	324
EDL933_RS03820	47	81	228	152	237	138	512	167	738	275	253	332	493	663	353	506	517	3078	419	383	133	394	234	340
EDL933_RS03825	24	49	155	74	120	68	260	73	601	144	110	123	511	628	156	263	252	1403	249	261	87	187	144	174
EDL933_RS03830	8	10	48	15	17	9	78	16	327	44	12	16	308	343	36	136	55	356	72	63	20	52	43	36
EDL933_RS03835	3	7	12	5	12	9	26	7	107	24	7	11	108	101	9	43	19	173	21	53	18	25	24	29
EDL933_RS03840	17	42	58	63	73	50	97	38	469	126	45	72	401	547	96	166	144	708	133	150	73	117	94	114
EDL933_RS03845	2	5	21	17	12	10	39	5	143	63	5	12	100	158	21	41	26	243	53	40	18	46	28	35
EDL933_RS03850	3335	3166	8221	4231	4827	2966	5619	1265	1358	10811	5510	3749	604	1253	2574	4633	5796	39972	7208	7777	3978	19274	11563	11435
EDL933_RS03855	1150	1365	3232	1933	2032	1278	2525	541	548	5277	2558	2187	239	510	1031	2489	2905	18474	3583	3042	1879	7396	4214	4291
EDL933_RS03860	1612	2202	4179	3199	3465	1976	3851	663	952	8005	1536	3608	344	1237	1064	1293	987	9592	3442	2360	1405	10314	5818	6978
EDL933_RS03865	1482	1659	3515	2648	2857	1465	3120	571	761	6666	1186	3162	286	1002	930	753	612	6201	2507	2043	1033	7853	5169	5359
EDL933_RS03870	4510	4428	10031	6187	7057	3420	9528	1593	1470	18391	4416	8592	591	2520	3642	1718	1955	15377	7247	7194	3557	21766	14203	14227
EDL933_RS03875	1988	1717	4265	1960	2597	1046	4638	751	404	6788	2432	3643	176	866	1936	641	873	6088	3576	3712	1711	9118	6052	5751
EDL933_RS03880	2033	1241	4325	1524	1964	874	3986	545	738	4851	3831	2315	305	641	1285	442	704	4938	2616	3551	1396	9122	6671	5150
EDL933_RS03885	9752	6992	18772	5555	10407	4172	17877	2881	3985	20946	19463	10273	1649	2798	7071	1732	2993	20551	11391	17635	7266	48017	30960	24998
EDL933_RS03890	5635	3620	10458	1721	4939	1909	8444	1766	1950	9521	11674	4394	769	1279	3818	696	1235	8947	5625	10195	3631	25604	16410	11841
EDL933_RS03895	4783	3509	9404	1321	4539	1548	6832	1510	1949	8394	11014	3478	719	1164	3027	649	1128	7419	4665	9579	3488	20023	12940	8291
EDL933_RS03900	3336	2604	6841	785	3235	1065	5000	1062	1675	5929	9163	2476	621	1059	2054	551	823	5330	3292	7139	2627	13729	8245	4877
EDL933_RS03905	13	15	45	2	27	9	31	8	40	27	43	7	44	43	10	9	8	44	24	55	31	52	26	16
EDL933_RS03910	2	13	14	8	11	8	11	3	37	8	15	7	34	31	3	16	20	103	17	23	12	19	18	15
EDL933_RS03915	6	22	46	12	13	12	39	3	127	37	12	23	139	155	8	26	31	176	46	42	26	59	28	26
EDL933_RS03920	3	6	26	6	4	14	2	5	85	7	5	4	110	110	11	16	15	102	46	26	5	14	5	10
EDL933_RS03925	10	2	15	4	2	2	0	1	12	4	4	2	15	23	3	7	2	39	24	8	1	11	3	21
EDL933_RS03930	18	11	57	14	25	15	32	5	59	18	6	14	78	103	17	34	18	132	37	33	3	32	19	55
EDL933_RS03935	14	16	63	17	26	18	37	5	85	44	5	19	118	114	25	27	28	157	19	34	9	34	41	48
EDL933_RS03940	6	7	68	16	31	24	22	6	72	29	13	11	105	71	13	17	10	130	29	22	6	39	25	54
EDL933_RS03945	8	12	52	10	26	16	24	7	69	14	5	6	72	58	20	24	20	125	23	18	7	40	23	31
EDL933_RS03950	8	1	11	4	3	6	4	0	3	4	2	1	9	9	1	3	0	10	4	4	2	17	9	13
EDL933_RS03955	1	1	5	0	3	0	3	1	4	2	0	0	3	1	1	1	0	6	0	2	0	9	5	5
EDL933_RS03960	0	2	10	5	0	5	5	1	5	2	1	3	8	6	1	4	3	13	9	0	0	8	5	10
EDL933_RS03965	1	2	7	14	2	9	14	2	33	8	2	5	60	66	9	5	7	39	22	21	5	16	11	20
EDL933_RS03970	1576	3547	7221	10156	6369	9386	15603	4003	10233	6247	11137	14432	8724	10596	7670	4768	2087	18714	3865	5757	2718	11193	9340	11202
EDL933_RS03975	1224	2764	5386	8645	5157	7619	12215	2596	5189	4540	8166	10691	5508	7270	5350	3805	1886	15799	2943	3124	1436	9325	7508	9085
EDL933_RS03980	479	1085	2081	3138	1868	2809	4734	1059	1658	1968	3498	3932	1875	2879	1988	1408	743	6060	1211	1005	475	3216	2552	3219
EDL933_RS03985	311	567	1327	1549	920	1452	2378	501	1127	835	1225	1649	1431	1870	1003	888	468	3813	833	636	275	1920	1617	2042
EDL933_RS03990	139	307	724	339	500	420	773	147	2441	991	278	668	2438	2818	516	765	551	3605	1859	1507	762	745	539	597
EDL933_RS03995	397	816	1924	1009	1419	1009	1497	292	3288	1892	525	1160	3555	3890	950	1075	817	6059	3028	2881	1199	2067	1474	1585
EDL933_RS04000	381	684	1682	957	1211	754	1187	218	2393	1279	331	720	2758	2845	700	871	760	5860	2340	2291	858	1771	1335	1432
EDL933_RS04005	795	1394	3359	1776	2154	1302	2212	299	3123	2363	500	1103	4218	5082	1342	1759	1649	11143	4576	4556	1922	3555	2372	2552
EDL933_RS04010	2417	3594	7721	6457	6114	4686	6232	1422	3468	8899	3278	6011	3381	4840	3361	3512	3587	25652	10716	14846	6063	9531	6105	5834
EDL933_RS04015	2359	3558	7545	7470	6385	5494	6335	1579	2495	8897	3906	7296	2203	3031	2979	3193	3430	24594	11353	16078	6777	8036	5424	5373
EDL933_RS04020	1227	1785	4517	3015	3146	2373	3266	841	1508	3773	1285	2705	1192	1769	1598	2230	2181	14399	6048	7590	3115	4672	3126	3313
EDL933_RS04025	166	216	583	398	393	366	1417	268	659	782	147	603	623	985	861	874	910	5071	3708	3315	1356	444	380	446
EDL933_RS04030	129	202	480	379	357	321	1332	244	682	759	131	603	631	963	837	846	846	4752	3732	3351	1350	355	288	316
EDL933_RS04035	133	209	482	363	370	333	1335	230	652	762	108	656	628	916	854	731	772	4407	3899	3563	1220	322	262	287
EDL933_RS04040	75	106	240	217	189	217	731	164	416	410	46	373	390	620	475	369	383	2267	1977	1803	601	164	133	142
EDL933_RS04045	73	122	248	203	200	211	696	118	348	477	41	382	386	572	440	318	372	2116	2156	2077	630	152	123	120
EDL933_RS29165	67	117	223	194	185	200	649	110	315	458	39	366	382	533	405	288	332	1828	2022	1924	591	137	116	99
EDL933_RS04050	4	9	23	21	15	13	40	8	35	32	3	27	43	44	34	28	31	132	127	100	36	17	7	9
EDL933_RS04055	39	46	127	77	70	82	110	75	668	202	117	89	638	781	64	617	720	5125	1168	912	657	136	102	94
EDL933_RS04060	41	43	155	74	74	94	154	62	595	183	128	84	792	843	95	755	739	6706	1197	872	663	216	134	165
EDL933_RS04065	27	37	95	78	72	74	134	72	567	109	54	114	774	857	85	295	304	2405	455	387	227	185	122	157
EDL933_RS04070	1	12	36	24	22	17	128	93	1692	62	52	38	1762	2622	161	75	51	345	78	54	39	813	661	713
EDL933_RS04080	694	1049	2522	1924	1721	1519	1967	1085	4658	1468	1665	969	2586	3643	1240	4967	4777	30488	4612	8517	4098	3689	2520	2904
EDL933_RS04085	937	1363	3041	3154	2675	3173	7601	2337	8252	8911	10067	8081	9222	6169	4725	10783	9326	70776	5350	8431	4938	5932	5316	5493
EDL933_RS04090	167	728	712	4032	1752	1050	1325	436	769	2171	2357	1462	779	898	752	732	702	4945	668	854	383	1016	853	773
EDL933_RS04095	112	837	426	5280	2099	1583	920	297	726	3270	2085	1245	721	867	547	375	307	2354	418	566	290	868	556	572
EDL933_RS04100	68	1122	256	6805	2929	2517	481	224	604	4798	1408	1447	611	672	302	97	85	615	259	326	164	525	460	386
EDL933_RS04105	91	1297	261	8150	3313	3051	461	185	755	4707	1078	2075	1026	957	268	122	106	725	275	314	212	525	453	441
EDL933_RS04110	74	136	275	753	307	312	182	68	483	1262	145	673	555	497	126	680	581	3327	1301	2273	1081	389	218	242
EDL933_RS04120	48	100	208	178	170	148	313	95	396	438	206	348	452	480	215	249	222	1095	258	355	162	350	173	197
EDL933_RS04125	6	26	39	33	45	48	145	41	493	76	64	97	527	536	88	125	105	407	73	56	99	83	37	41
EDL933_RS04130	34	84	139	118	125	307	242	66	547	332	138	163	537	507	129	2109	1362	8617	190	184	109	254	161	162
EDL933_RS04135	24	52	105	83	83	146	168	45	257	205	89	99	230	280	82	1423	1018	6057	143	162	103	185	145	134
EDL933_RS04140	42	62	169	105	148	216	241	49	295	260	95	103	264	316	130	1594	1216	6322	185	189	116	212	150	172
EDL933_RS04145	44	134	180	222	189	261	317	73	262	548	324	378	299	317	165	310	257	1223	234	257	120	285	188	141
EDL933_RS04150	93	208	412	492	446	532	1154	276	837	1645	1469	1151	352	562	547	322	321	2190	243	397	179	1045	816	850
EDL933_RS04155	2	4	9	11	18	16	22	5	56	38	15	24	65	67	5	16	29	105	12	24	10	28	20	21
EDL933_RS04160	1	0	0	2	0	10	3	0	4	5	0	3	6	3	2	0	5	14	6	4	0	6	0	1
EDL933_RS04165	1	1	12	5	5	12	9	1	27	8	0	6	22	30	1	4	4	39	7	13	8	9	7	7
EDL933_RS04170	27	38	92	60	61	60	106	20	201	141	18	91	195	193	75	55	60	405	177	175	65	88	82	116
EDL933_RS04175	307	650	1329	717	1010	774	1022	168	609	2191	198	1173	502	561	619	271	246	2008	1564	1805	796	976	636	729
EDL933_RS04180	78	190	339	142	291	175	377	53	358	673	100	278	266	316	246	135	122	869	625	677	296	369	233	222
EDL933_RS04185	3	6	18	6	10	10	15	5	25	34	10	18	17	17	13	24	17	67	25	16	17	34	11	30
EDL933_RS04190	0	3	2	0	0	1	3	0	0	2	0	0	0	0	0	0	1	3	3	2	2	0	1	0
EDL933_RS04195	5	12	25	8	6	9	34	9	93	38	17	11	67	109	16	40	45	229	58	60	39	21	7	16
EDL933_RS04200	0	7	8	0	2	1	8	1	15	7	0	0	13	22	2	0	1	16	13	16	6	4	2	4
EDL933_RS04205	4	6	44	14	13	14	40	3	57	26	8	9	30	29	11	11	13	131	78	74	19	7	3	4
EDL933_RS04210	5	8	51	15	15	18	42	3	62	23	9	10	36	29	15	12	16	137	71	79	22	4	1	3
EDL933_RS04215	10	17	76	22	29	38	77	5	57	41	11	16	68	59	28	25	24	191	128	126	41	6	5	4
EDL933_RS04220	10	12	58	10	19	20	45	4	47	28	5	10	43	39	16	19	13	113	90	81	27	7	8	2
EDL933_RS04225	16	30	136	15	28	41	68	15	106	77	17	17	83	84	16	38	48	353	196	214	69	7	13	13
EDL933_RS04235	0	0	13	3	0	10	4	1	8	0	3	3	17	16	1	3	2	18	8	13	2	3	2	5
EDL933_RS04240	0	0	14	3	0	10	7	1	6	0	2	1	17	11	3	2	3	17	5	10	2	3	2	6
EDL933_RS04245	1	3	5	9	7	2	7	5	18	9	1	4	15	20	4	3	2	23	4	14	3	12	10	21
EDL933_RS04250	19	31	103	10	29	3	106	6	72	20	9	5	68	63	18	19	12	545	134	141	163	64	35	61
EDL933_RS04255	294	1059	2825	141	971	349	1731	62	241	681	149	258	254	234	262	171	168	5276	1895	2274	3248	1220	686	849
EDL933_RS04260	11	34	60	24	33	45	76	28	211	41	23	45	228	298	45	74	59	354	94	122	48	74	58	42
EDL933_RS04265	22	50	126	57	60	41	123	22	336	229	33	78	411	528	62	117	164	1003	387	214	167	161	54	76
EDL933_RS29170	1	4	36	9	4	8	22	3	23	55	2	5	44	37	10	32	27	212	104	41	31	29	7	9
EDL933_RS04275	3	9	19	6	6	4	13	12	13	29	8	12	21	20	17	16	12	106	65	47	28	47	32	38
